1,EJERCITO,BA-03,,BARREDORA DEXTER SIN CABINA, SWEEPSTER,,911150,2014
2,janos,BA-06,,BARREDORA , LAYMOR,SM400,36445,
3,Taller,BD-03,,BULL DOZZER ,CATERPILLAR,D8T,J8B02471,2010
4,San Luis,BD-04,,BULL DOZZER ,CATERPILLAR,D8T,CAT00D8TAJ8B02464,2010
5,Janos,BD-05,VIGENTE,BULL DOZZER,CATERPILLAR,D8T,J8B02983,2012
6,Janos,CF-03,,TRASCABO ,CATERPILLAR,IT38G,7BS00820,2013
7,Aldabas,CF-04,,MINI CARGADOR ,JONH DEERE,320D,1T0320DAEDG248667,2014
8,Janos,CF-06,,TRASCABO ,JOHN DEERE,644K,1DW644KZLFC668436,2015
9,San Luis,CF-07,,TRASCABO ,JOHN DEERE,644K,1DW644KZVGC676602,2016
10,Janos,CF-08,,TRASCABO ,CATERPILLAR,950H,CAT0950HKK5K00178,2006
11,JANOS,EA-03,,TANQUE PARA ASFALTO 29500 LTS ,,,FM4091,
12,,EA-04,,TANQUE MOVIL PARA ASFALTO 4900 LTS,,,ASE-038-0110-CAR,
13,Janos,EA-05,,EXTENDEDORA DE ASFALTO,VOGELE,SUPER 1600-3,15820263,2017
14,,EA-06,,"AUTOTANQUE 40,000 LTS (2018)",TYRSOL,2018,3T9BT1230JA206068,2017
15,ejercito jz,EP-02,,ESPARCIDORA FIBER CHIP SEALER ,HENAN GAOYUAN RME ,GYXKT0812,FW280011,
16,Janos,EP-04,,PETROLIZADORA INTERNATIONAL 4700,INTERNATIONAL,4700,1HTSCAAN3VH464492,1997
17,Janos,ET-01,,CRIBA CHIEFTAIN ,POWER SCREEN,1400T,PID00066JDGA30453,2010
18,Janos,ET-02,,TRITURADOR,POWER SCREEN,MAXTRAK 1000,PID10MXTTOM990005,2010
19,Janos,ET-03,,TRITURADORA DE QUIJADA ,POWER SCREEN,XA400S,PIDXA40SCOMA40020,2010
20,janos,ET-05,VIGENTE,CRIBA SCALPER ,MCCLOSKEY,R155,85430,2016
21,Janos,ET-07,,TRITURADORA DE CONO,METSO MINERALS,NW200HPS-CC,2055-3295,
22,Janos,EX-09,,EXCAVADORA ,JOHN DEERE,450D,FF450DX913767,2011
23,San Luis,EX-11,,EXCAVADORA,CATEPILLAR,336 DL,CAT0336DJM4T01533,2011
24,Janos,EX-12,,EXCAVADORA ,JOHN DEERE,210GLC,1FF210GXPGC523869,2016
25,Janos,EX-13,VIGENTE,EXCAVADORA ,JOHN DEERE,350G,1FF350GXAGC811388,2017
26,Janos,GE-06,,GENERADOR,INGRESOLL RAND,G460,46006008542,
27,Janos,GE-10,,GENERADOR ,CATERPILLAR,MSS500,0NAP01188,2017
28,Taller Urbanissa,MC-01,,MONTACARGAS ,CATERPILLAR,2P5000,AT3530502,2010
29, Teofilo,MC-02,,TELEHANDLER ,SKYTRAK,8042,15693,2001
30,Ejercito Jz,MO-01,,MOTOCONFORMADORA,CATERPILLAR,120-G,87V9320,1990
31,Janos,MO-04,,MOTOCONFORMADORA,CATERPILLAR,12-H,4XM00685,1996
32,Altozano Chih.,MO-07,,MOTOCONFORMADORA,CATERPILLAR,12-H,CAT0012HJ4ER01033,2004
33,Taller,MO-08,,MOTOCONFORMADORA ,CATERPILLAR,140-H,CAT0140H5HM03834,2008
34,BRP,MO-09,,MOTOCONFORMADORA ,JONH DEERE,770-D,DW770DX621736,2008
35,San Luis,MO-10,VIGENTE,MOTOCONFORMADORA,CATERPILLAR,140K,SZL02324,2014
36,Janos,MO-11,,MOTOCONFORMADORA ,JOHN DEERE,770G,1DW770GXCEC666393,2016
37,Taller,MO-12,,MOTOCONFORMADORA ,CATERPILLAR,140K,CAT0140KPSZL02326,2014
38,BRP,MO-13,VIGENTE,MOTOCONFORMADORA ,CATERPILLAR,12M,B9200725,2018
39,BRP,PA-02,,RECUPERADORA DE ASFALTO ,CATERPILLAR,RM300,CATMR300KBWR00409,2009
40,Ejercito Jz,PA-03,,PERFILADORA DE ASFALTO ,WIRTGEN,W2100,9210288,2008
41,San Luis,RE-15,,RETROEXCAVADORA ,JOHN DEERE,310K   ,1T0310KXHEC267673,2015
42,Altozano Chih.,RE-16,,RETROEXCAVADORA ,JOHN DEERE ,310L   ,1T0310LXPFC279487,2015
43, Las Aldabas,RE-17,,RETROEXCAVADORA,JOHN DEERE,310SL,1T0310SLJFC283315,2015
44,Janos,RE-18,,RETROEXCAVADORA,JOHN DEERE,310SL,1T0310SLEGC298276,2016
45,BRP,RE-19,,RETROEXCAVADORA,JOHN DEERE,310L,1T0310LXKGC291805,2016
46,Teofilo,RE-20,VIGENTE,RETROEXCAVADORA ,JOHN DEERE,310L,1BZ310LAAHC000289,2017
47,Las Aldabas,RE-21,VIGENTE,RETROEXCAVADORA ,CATERPILLAR,416F2 ,LBF05499,2018
48,Altozano Chih.,VI-05,,VIBROCOMPACTADOR ,HAMM,3410,H1690509,2006
49,Janos,VI-07,,VIBROCOMPACTADOR ,HAMM,3410,H1690508,2006
50,Janos,VI-08,,VIBROCOMPACTADOR ,HAMM,3410,H1690639,2006
51,Janos,VI-09,,VIBROCOMPACTADOR ,HAMM,3410,H1790551,
52,BRP,VI-10,,VIBROCOMPACTADOR ,HAMM,3410,H1690907,
53,Janos,VI-11,,VIBROCOMPACTADOR ,HAMM,3410,H1690991,2007
54,Janos,VI-12,,VIBROCOMPACTADOR DOBLE RODILLO ,CATERPILLAR,CB534D,CATCB534TEAA00178,2003
55,Janos,VI-14,,VIBROCOMPACTADOR DOBLE RODILLO  ,HAMM,UD120VO,H1840252,2010
56,ejercito jz,VI-15,,COMPACTADOR PATA DE CABRA ,CATERPILLAR,815F,BYN00592,2010
57,BRP,VI-16,,COMPACTADOR PATA DE CABRA,CATERPILLAR,815F,1GN00702,1999
58,San Luis,VI-17,,VIBROCOMPACTADOR ,HAMM,3411,H2690923,2014
59,San Luis,VI-18,,VIBROCOMPACTADOR ,HAMM,3411,H2690926,2014
60,Janos,VI-19,,COMPACTADOR ,CATERPILLAR,PS360C,CATPS360JPJF00718,2012
61,Teofilo,VI-20,,MINI VIBRO ,HAMM,HD8VV,WGH0H199JHAA05095,2017
